,ID_SALES,text,text_clean,Sentiment
0,HD1927A," Lastly, for a company that's trying to put the love in flying it would be nice to have someone personally address my concerns.", lastly for a company that s trying to put the love in flying it would be nice to have someone personally address my concerns ,positive
1,ST4244A, what about for us that cant get to the states they are playing for the hunt? Any DestinationDragons tickets left?Even just one, what about for us that cant get to the states they are playing for the hunt any destinationdragons tickets left even just one,neutral
2,HD108A, an already pleasant flight from London to Charlotte (US733) was made fantastic by an amazing attendant. Thank you so much Robert!, an already pleasant flight from london to charlotte us733 was made fantastic by an amazing attendant thank you so much robert ,positive
3,HD4335A, She could even see that I had tried to make the transaction but wouldn't offer me the price I'd tried to purchase it at., she could even see that i had tried to make the transaction but wouldn t offer me the price i d tried to purchase it at ,neutral
4,HN416A, but seriously if my cats dead I'm going to be pissed/very thankful because it is evil and wants my soul, but seriously if my cats dead i m going to be pissed very thankful because it is evil and wants my soul,negative
5,HD4902A, didn't get her name. She was not in our group. She was sitting behind us. Think it was window seat #40? We only overheard..., didn t get her name she was not in our group she was sitting behind us think it was window seat 40 we only overheard ,negative
6,HC3825A, thank you for getting our daughter home when  Cancelled Flightled all their flights to Nashville, thank you for getting our daughter home when cancelled flightled all their flights to nashville,positive
7,HY37T,"...still waiting for a call back....attempt #9 and hour #13...can't put a hold on an online tix, we are within seven day window.", still waiting for a call back attempt 9 and hour 13 can t put a hold on an online tix we are within seven day window ,negative
8,HD4172A, our travel booked thru United group dept. Okc ticket agent less than willing to help with our connection in LAX., our travel booked thru united group dept okc ticket agent less than willing to help with our connection in lax ,positive
9,HS2620A," My booked seat ended up being the last row which was labeled ""do no occupy"" had to play musical chairs for 30 mins. Unacceptable", my booked seat ended up being the last row which was labeled do no occupy had to play musical chairs for 30 mins unacceptable,negative
10,HC3000A, appreciate getting put on hold for 20min and then getting hung up on because I was requesting help for big group. I'll try #Delta, appreciate getting put on hold for 20min and then getting hung up on because i was requesting help for big group i ll try delta,positive
11,HS4611A," lines #BQONPA flight #1641 delayed from POS-MIA, missed #2214 MIA- ATL need seat on last flight to ATL.", lines bqonpa flight 1641 delayed from pos mia missed 2214 mia atl need seat on last flight to atl ,negative
12,HD1864A, why do you guys split up the charges to credit cards? Making it unnecessarily more expensive for people to fly with you guys on pts, why do you guys split up the charges to credit cards making it unnecessarily more expensive for people to fly with you guys on pts,negative
13,HD1123A, @TomVH just get the RR credit card and get the points of family that way, just get the rr credit card and get the points of family that way,neutral
14,HD4121A, I do not see where it talks about military baggage fees. Can you please guide me. Thanks, i do not see where it talks about military baggage fees can you please guide me thanks,negative
15,SK56A, POOR EXPERIENCE 2day at ord chkin. 8 emp. w/3 cust. 10 waiting. Asked to speak w/supervisor. Told 20 min. In a mtg!! What?!?!, poor experience 2day at ord chkin 8 emp w 3 cust 10 waiting asked to speak w supervisor told 20 min in a mtg what ,negative
16,HD2912A," - what a disaster! Flight 3739, missed passenger count by 5 since it was done manually!!  Really???", what a disaster flight 3739 missed passenger count by 5 since it was done manually really ,negative
17,HD3300A," @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!", sorry mary martin had it first ,negative
18,HD1762A, I'm searching for flights to redeem with miles and getting different search results with 2 user accounts. Any reason why?, i m searching for flights to redeem with miles and getting different search results with 2 user accounts any reason why ,neutral
19,HD262A, thanks. Can you change the music in the boarding gates?, thanks can you change the music in the boarding gates ,positive
20,HD70A," Considering it was past midnight, I hung up and called again to receive another service call.", considering it was past midnight i hung up and called again to receive another service call ,neutral
21,HN1906A, also ran out of water and refused service #costumerservice #legit #jk, also ran out of water and refused service costumerservice legit jk,negative
22,SK4213A," I'd go back to Haiti to deliver shoes, books&amp;medicine to kids I met in orphanage last year. #flyingitforward http://t.co/pGoeUXnsPI", i d go back to haiti to deliver shoes booksmedicine to kids i met in orphanage last year flyingitforward ,neutral
